배기량(CC),차량대수,승용,승합,화물,특수,이륜
0,6,0,0,0,6,0
1,9,7,0,0,2,0
20,2,0,0,0,0,2
100,73,0,0,0,0,73
113,6,6,0,0,0,0
120,4,0,0,0,0,0
124,951,0,0,0,0,951
995,156,156,0,0,0,0
999,274,274,0,0,0,0
1170,200,0,0,0,0,200
1206,1,1,0,0,0,0
1254,158,0,0,0,0,158
1397,364,364,0,0,0,0
1399,294,294,0,0,0,0
1450,1,0,0,0,0,1
1497,2,2,0,0,0,0
1580,290,290,0,0,0,0
1591,1463,1463,0,0,0,0
1596,7,7,0,0,0,0
1598,53,53,0,0,0,0
1599,16,16,0,0,0,0
1690,248,0,0,0,0,248
1991,8,7,0,0,1,0
1995,72,68,0,0,4,0
1997,22,22,0,0,0,0
1998,506,428,38,29,11,0
1999,3756,3756,0,0,0,0
2000,8,0,0,0,8,0
2157,744,0,624,120,0,0
2188,115,115,0,0,0,0
2199,855,2,853,0,0,0
2351,1,1,0,0,0,0
2359,7,7,0,0,0,0
2476,31,0,0,22,9,0
2496,1,0,0,0,1,0
2497,4365,4,3808,500,53,0
2607,5,0,3,2,0,0
2656,4,4,0,0,0,0
2685,1,0,0,0,1,0
2696,1,0,1,0,0,0
2701,2,0,0,0,2,0
2776,1,0,0,0,1,0
2799,2,2,0,0,0,0
2997,2,2,0,0,0,0
2999,27,27,0,0,0,0
3199,2,2,0,0,0,0
3298,7,0,0,7,0,0
3342,51,51,0,0,0,0
3470,1,1,0,0,0,0
3568,2,0,0,0,2,0
3773,1,1,0,0,0,0
3778,1,1,0,0,0,0
3800,15,0,15,0,0,0
3907,17,0,0,0,17,0
3933,789,0,629,128,32,0
4565,2,2,0,0,0,0
4627,1,1,0,0,0,0
5890,4,0,0,1,3,0
5899,70,0,2,4,64,0
5900,6,0,6,0,0,0
6000,4,4,0,0,0,0
6299,5,0,0,0,5,0
6300,8,0,1,3,4,0
6606,9,0,4,0,5,0
6700,5,0,0,0,5,0
6763,7,0,0,0,7,0
6800,7,1,0,0,6,0
7545,9,0,0,2,7,0
7640,7,0,1,0,6,0
9960,16,0,10,0,6,0
10964,48,0,48,0,0,0
11051,6,0,5,0,1,0
11120,1,0,0,0,1,0
11149,8,0,8,0,0,0
12300,2,0,2,0,0,0
12344,2,0,1,0,1,0
12700,644,0,644,0,0,0
12742,2,0,2,0,0,0
